KeyBase,Jenis RM,Jenis Analisa,Parameter,Std_mentah_2026,Kriteria,Nilai_std,Satuan,Std_tipe,Std_min,Std_max,m_num,M_num,Catatan
l 164420|mikrobiologi|clostridium perfringens,L 164420,Mikrobiologi,Clostridium perfringens,Maks.  1 x 103  kol/g,Maks.,1 x 10^3,kol/g,m,,,1000,,
l 164420|mikrobiologi|coliform,L 164420,Mikrobiologi,Coliform,Maks.  1 x 102  kol/g,Maks.,1 x 10^2,kol/g,m,,,100,,
l 164420|mikrobiologi|e. coli,L 164420,Mikrobiologi,E. coli,Negatif,,,Negatif,Kualitatif,,,,,
l 164420|mikrobiologi|salmonella sp,L 164420,Mikrobiologi,Salmonella sp,Negatif / 25 g,Negatif /,25,g,m,,,25,,
l 164420|mikrobiologi|tpc,L 164420,Mikrobiologi,TPC,Maks.  1 x 104  kol/g,Maks.,1 x 10^4,kol/g,m,,,10000,,
l 164420|mikrobiologi|yeast & mould,L 164420,Mikrobiologi,Yeast & Mould,Maks.  1 x 102  kol/g,Maks.,1 x 10^2,kol/g,m,,,100,,
l 325392|cemaran logam|as,L 325392,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
l 325392|cemaran logam|cd,L 325392,Cemaran Logam,Cd,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
l 325392|cemaran logam|hg,L 325392,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
l 325392|cemaran logam|pb,L 325392,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
l 325392|kimia|(3-mcpd),L 325392,Kimia,(3-MCPD),,,,,NA,,,,,
l 325392|kimia|3-monochloro-propane-1.2-diol,L 325392,Kimia,3-monochloro-propane-1.2-diol,"Maks. 0,1 mg/kg",Maks.,0.1,mg/kg,Maks,,0.1,,,
l 325392|kimia|abu sulfat,L 325392,Kimia,Abu Sulfat,"Maks. 0,01 %",Maks.,0.01,%,Maks,,0.01,,,
l 325392|kimia|ethylene oxide,L 325392,Kimia,Ethylene Oxide,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
l 325392|kimia|etilen glikol & dietilen glikol,L 325392,Kimia,Etilen glikol & Dietilen glikol,"Maks. 0,025%",Maks.,0.025,%,Maks,,0.025,,,
l 325392|kimia|residu pemijaran,L 325392,Kimia,Residu Pemijaran,"Maks. 0,01%",Maks.,0.01,%,Maks,,0.01,,,
l 325392|kimia|total etillena oksida (etilena oksida + 2-ce sebagai etilena oksida),L 325392,Kimia,Total Etillena Oksida (etilena oksida + 2-CE sebagai etilena oksida),"Maks. 0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
l 337240|cemaran logam|as,L 337240,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
l 337240|cemaran logam|cd,L 337240,Cemaran Logam,Cd,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
l 337240|cemaran logam|hg,L 337240,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
l 337240|cemaran logam|pb,L 337240,Cemaran Logam,Pb,Maks. 5 ppm,Maks.,5,ppm,Maks,,5,,,
l 337240|kimia|relative density,L 337240,Kimia,Relative density,"1,10 - 1,30",,1.10 - 1.30,,Range,1.1,1.3,,,
l 337240|mikrobiologi|alt,L 337240,Mikrobiologi,ALT,"m = negatif/ g,         M = NA",m/M,,negatif/ g,Kualitatif,,,,,
l 337240|mikrobiologi|coliform,L 337240,Mikrobiologi,Coliform,"m = negatif/ g,         M = NA",m/M,,negatif/ g,Kualitatif,,,,,
l 337240|mikrobiologi|e. coli,L 337240,Mikrobiologi,E. coli,"m = 103 kol/g,          M = 105 kol/g",m/M,103 / 105,kol/g,m/M,,,1000,100000,
l 337240|mikrobiologi|khamir & kapang,L 337240,Mikrobiologi,Khamir & Kapang,"m = 102 kol/g,          M = 104 kol/g",m/M,102 / 104,kol/g,m/M,,,100,10000,
l 337240|mikrobiologi|salmonella,L 337240,Mikrobiologi,Salmonella,"m = Negatif/25g,     M = NA",m/M,,Negatif/25g,Kualitatif,,,,,
low ge - 3 mcpd|cemaran logam|as,Low GE - 3 MCPD,Cemaran Logam,As,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
low ge - 3 mcpd|cemaran logam|cd,Low GE - 3 MCPD,Cemaran Logam,Cd,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
low ge - 3 mcpd|cemaran logam|cu,Low GE - 3 MCPD,Cemaran Logam,Cu,"Maks.  0,1  ppm",Maks.,0.1,ppm,Maks,,0.1,,,
low ge - 3 mcpd|cemaran logam|fe,Low GE - 3 MCPD,Cemaran Logam,Fe,"Maks.  1,5  ppm",Maks.,1.5,ppm,Maks,,1.5,,,
low ge - 3 mcpd|cemaran logam|hg,Low GE - 3 MCPD,Cemaran Logam,Hg,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
low ge - 3 mcpd|cemaran logam|pb,Low GE - 3 MCPD,Cemaran Logam,Pb,Maks.  0.1  ppm,Maks.,0.1,ppm,Maks,,0.1,,,
low ge - 3 mcpd|cemaran logam|sn,Low GE - 3 MCPD,Cemaran Logam,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
low ge - 3 mcpd|kimia|3 mcpd ester,Low GE - 3 MCPD,Kimia,3 MCPD ester,Maks. 2500 ppb,Maks.,2500,ppb,Maks,,2500,,,
low ge - 3 mcpd|kimia|bilangan iod,Low GE - 3 MCPD,Kimia,Bilangan  Iod,"Min.  50,5  cg/g",Min.,50.5,cg/g,Min,50.5,,,,
low ge - 3 mcpd|kimia|color lovibon,Low GE - 3 MCPD,Kimia,Color  lovibon,Maks.  2.8  Red,Maks.,2.8,Red,Maks,,2.8,,,
low ge - 3 mcpd|kimia|glycidol ester,Low GE - 3 MCPD,Kimia,Glycidol ester,Maks. 1000 ppb,Maks.,1000,ppb,Maks,,1000,,,
low ge - 3 mcpd|kimia|kadar air & kotoran,Low GE - 3 MCPD,Kimia,Kadar  Air  &  Kotoran,"Maks.  0,08 %",Maks.,0.08,%,Maks,,0.08,,,
low ge - 3 mcpd|kimia|rancimat,Low GE - 3 MCPD,Kimia,Rancimat,Min. 10 jam,Min.,10,jam,Min,10,,,,
low ge - 3 mcpd|kimia|rbdpo low 3mcpd,Low GE - 3 MCPD,Kimia,RBDPO Low 3MCPD,,,,,NA,,,,,
low ge - 3 mcpd|kimia|rbdpo low ge,Low GE - 3 MCPD,Kimia,RBDPO Low GE,,,,,NA,,,,,
low ge - 3 mcpd|kimia|total dioksin,Low GE - 3 MCPD,Kimia,Total Dioksin,"Maks.  2,5 pg/g lemak",Maks.,2.5,pg/g lemak,Maks,,2.5,,,
m 201800|cemaran logam|pb,M 201800,Cemaran Logam,Pb,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 201800|kimia|asam amino,M 201800,Kimia,Asam  Amino,Negatif,,,Negatif,Kualitatif,,,,,
m 205400|cemaran logam|as,M 205400,Cemaran Logam,As,"Maks.  0,10  ppm",Maks.,0.10,ppm,Maks,,0.1,,,
m 205400|cemaran logam|cd,M 205400,Cemaran Logam,Cd,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
m 205400|cemaran logam|hg,M 205400,Cemaran Logam,Hg,"Maks.  0,03  ppm",Maks.,0.03,ppm,Maks,,0.03,,,
m 205400|cemaran logam|pb,M 205400,Cemaran Logam,Pb,Maks.  0.25  ppm,Maks.,0.25,ppm,Maks,,0.25,,,
m 205400|cemaran logam|sn,M 205400,Cemaran Logam,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
m 205400|fisik|partikel size,M 205400,Fisik,Partikel Size,100% lolos (65 mesh),,100,% lolos (65 mesh),Cek,,,,,
m 205400|kimia|hcn,M 205400,Kimia,HCN,Maks.  5  ppm,Maks.,5,ppm,Maks,,5,,,
m 205400|kimia|kadar abu,M 205400,Kimia,Kadar  Abu,"Maks.  0,5 %",Maks.,0.5,%,Maks,,0.5,,,
m 205400|kimia|pati,M 205400,Kimia,Pati,Min.  80%,Min.,80,%,Min,80,,,,
m 205400|kimia|serat kasar,M 205400,Kimia,Serat  kasar,"Maks.  0,4 %",Maks.,0.4,%,Maks,,0.4,,,
m 205400|mikrobiologi|alt,M 205400,Mikrobiologi,ALT,m = 105  kol/g,m =,105,kol/g,m,,,100000,,
m 205400|mikrobiologi|bacillus cereus,M 205400,Mikrobiologi,Bacillus  cereus,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
m 205400|mikrobiologi|escherichia coli,M 205400,Mikrobiologi,Escherichia coli,m = 7.4  APM/g,m =,7.4,APM/g,m,,,7.4,,
m 205400|mikrobiologi|kapang & khamir,M 205400,Mikrobiologi,Kapang & Khamir,m = 103  kol/g,m =,103,kol/g,m,,,1000,,
m 205400|mikrobiologi|salmonella,M 205400,Mikrobiologi,Salmonella,m = negatif/25g,m = negatif/,25,g,m,,,25,,
m 206600|cemaran logam|as,M 206600,Cemaran Logam,As,"Maks. 0,5 ppm",Maks.,0.5,ppm,Maks,,0.5,,,
m 206600|cemaran logam|cd,M 206600,Cemaran Logam,Cd,"Maks. 0,1 ppm",Maks.,0.1,ppm,Maks,,0.1,,,
m 206600|cemaran logam|hg,M 206600,Cemaran Logam,Hg,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
m 206600|cemaran logam|pb,M 206600,Cemaran Logam,Pb,"Maks. 1,0 ppm",Maks.,1.0,ppm,Maks,,1,,,
m 206600|cemaran logam|sn,M 206600,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
m 206600|kimia|crude fiber (db),M 206600,Kimia,Crude  fiber (db),"Maks. 1,5%",Maks.,1.5,%,Maks,,1.5,,,
m 206600|kimia|deoksinivalenol,M 206600,Kimia,Deoksinivalenol,Maks. 1000 ppb,Maks.,1000,ppb,Maks,,1000,,,
m 206600|kimia|kadar lemak,M 206600,Kimia,Kadar  lemak,Maks. 2%,Maks.,2,%,Maks,,2,,,
m 206600|kimia|okratoksin a,M 206600,Kimia,Okratoksin A,Maks. 5 ppb,Maks.,5,ppb,Maks,,5,,,
m 206600|kimia|protein (n x 6.25),M 206600,Kimia,Protein (N x 6.25),Min. 83%  (db),Min.,83,% (db),Min,83,,,,
m 206600|mikrobiologi|alt,M 206600,Mikrobiologi,ALT,m = 105 kol/g,m =,105,kol/g,m,,,100000,,
m 206600|mikrobiologi|bacillus cereus,M 206600,Mikrobiologi,Bacillus cereus,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
m 206600|mikrobiologi|e. coli,M 206600,Mikrobiologi,E. coli,m = 7.4 APM/g,m =,7.4,APM/g,m,,,7.4,,
m 206600|mikrobiologi|kapang & khamir,M 206600,Mikrobiologi,Kapang & Khamir,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
m 206600|mikrobiologi|salmonella,M 206600,Mikrobiologi,Salmonella,m = Negatif/25 g,m = Negatif/,25,g,m,,,25,,
m 206700|cemaran logam|as,M 206700,Cemaran Logam,As,"Maks. 0,1 ppm",Maks.,0.1,ppm,Maks,,0.1,,,
m 206700|cemaran logam|cd,M 206700,Cemaran Logam,Cd,"Maks. 0,05 ppm",Maks.,0.05,ppm,Maks,,0.05,,,
m 206700|cemaran logam|hg,M 206700,Cemaran Logam,Hg,"Maks. 0,03 ppm",Maks.,0.03,ppm,Maks,,0.03,,,
m 206700|cemaran logam|pb,M 206700,Cemaran Logam,Pb,"Maks. 0,25 ppm",Maks.,0.25,ppm,Maks,,0.25,,,
m 206700|cemaran logam|sn,M 206700,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
m 206700|kimia|ethylene oxide,M 206700,Kimia,Ethylene Oxide,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
m 206700|kimia|okratoksin a,M 206700,Kimia,Okratoksin A,Maks. 5 ppb,Maks.,5,ppb,Maks,,5,,,
m 206700|kimia|so2,M 206700,Kimia,SO2,Maks. 20 ppm,Maks.,20,ppm,Maks,,20,,,
m 206700|kimia|total etillena oksida (etilena oksida + 2-ce sebagai etilena oksida),M 206700,Kimia,Total Etillena Oksida (etilena oksida + 2-CE sebagai etilena oksida),"Maks. 0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
m 206700|mikrobiologi|alt,M 206700,Mikrobiologi,ALT,m = 105 kol/g,m =,105,kol/g,m,,,100000,,
m 206700|mikrobiologi|bacillus cereus,M 206700,Mikrobiologi,Bacillus cereus,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
m 206700|mikrobiologi|e. coli,M 206700,Mikrobiologi,E. coli,m = 7.4 APM/g,m =,7.4,APM/g,m,,,7.4,,
m 206700|mikrobiologi|kapang & khamir,M 206700,Mikrobiologi,Kapang & Khamir,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
m 206700|mikrobiologi|salmonella,M 206700,Mikrobiologi,Salmonella,m = Negatif/25g,m = Negatif/,25,g,m,,,25,,
m 222000|cemaran logam|as,M 222000,Cemaran Logam,As,"Maks. 0,1 ppm",Maks.,0.1,ppm,Maks,,0.1,,,
m 222000|cemaran logam|cd,M 222000,Cemaran Logam,Cd,"Maks. 0,5 ppm",Maks.,0.5,ppm,Maks,,0.5,,,
m 222000|cemaran logam|cu,M 222000,Cemaran Logam,Cu,Maks. 2 ppm (export),Maks.,2,ppm (export),Maks,,2,,,
m 222000|cemaran logam|hg,M 222000,Cemaran Logam,Hg,"Maks. 0,1 ppm",Maks.,0.1,ppm,Maks,,0.1,,,
m 222000|cemaran logam|pb,M 222000,Cemaran Logam,Pb,Maks. 2 ppm (export),Maks.,2,ppm (export),Maks,,2,,,
m 222000|cemaran logam|sn,M 222000,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
m 222000|kimia|ca,M 222000,Kimia,Ca,Maks. 600 ppm,Maks.,600,ppm,Maks,,600,,,
m 222000|kimia|iodium (kio3),M 222000,Kimia,Iodium  (KIO3),30 - 80 ppm,,30 - 80,ppm,Range,30,80,,,
m 222000|kimia|mg,M 222000,Kimia,Mg,Maks. 400 ppm,Maks.,400,ppm,Maks,,400,,,
m 222190|cemaran logam|as,M 222190,Cemaran Logam,As,"Maks. 0,25 ppm",Maks.,0.25,ppm,Maks,,0.25,,,
m 222190|cemaran logam|cd,M 222190,Cemaran Logam,Cd,"Maks. 0,10 ppm",Maks.,0.10,ppm,Maks,,0.1,,,
m 222190|cemaran logam|hg,M 222190,Cemaran Logam,Hg,"Maks. 0,03 ppm",Maks.,0.03,ppm,Maks,,0.03,,,
m 222190|cemaran logam|pb,M 222190,Cemaran Logam,Pb,"Maks. 0,25 ppm",Maks.,0.25,ppm,Maks,,0.25,,,
m 222190|cemaran logam|sn,M 222190,Cemaran Logam,Sn,Maks. 40 ppm,Maks.,40,ppm,Maks,,40,,,
m 222190|kimia|gula reduksi,M 222190,Kimia,Gula reduksi,"Maks. 1,2%",Maks.,1.2,%,Maks,,1.2,,,
m 222190|kimia|kadar lemak,M 222190,Kimia,Kadar  lemak,Min. 40%,Min.,40,%,Min,40,,,,
m 222190|kimia|kadar protein (n x 6.25),M 222190,Kimia,Kadar  protein (N x 6.25),Min. 44%,Min.,44,%,Min,44,,,,
m 222190|kimia|total dioksin,M 222190,Kimia,Total Dioksin,"Maks. 2,5 pg / g lemak",Maks.,2.5,pg / g lemak,Maks,,2.5,,,
m 222190|mikrobiologi|alt,M 222190,Mikrobiologi,ALT,m = 103 col/g,m =,103,col/g,m,,,1000,,
m 222190|mikrobiologi|enterobacteriaceae,M 222190,Mikrobiologi,Enterobacteriaceae,m = 10 col/g,m =,10,col/g,m,,,10,,
m 222190|mikrobiologi|salmonella,M 222190,Mikrobiologi,Salmonella,m = Negatif/25 g,m = Negatif/,25,g,m,,,25,,
m 254830|fisik|jenis pati (set back),M 254830,Fisik,Jenis Pati (set back),Set  back  min. 100  (viscositas suhu rendah),Set back min.,100,(viscositas suhu rendah),Cek,,,,,
m 254830|kimia|as,M 254830,Kimia,As,"Maks.  0,10  ppm",Maks.,0.10,ppm,Maks,,0.1,,,
m 254830|kimia|cd,M 254830,Kimia,Cd,"Maks.  0,05  ppm",Maks.,0.05,ppm,Maks,,0.05,,,
m 254830|kimia|derajat asam,M 254830,Kimia,Derajat asam,"Maks. 4,0 ml NaOH 0,1 N/100 g",Maks.,4.0,"ml NaOH 0,1 N/100 g",Maks,,4,,,
m 254830|kimia|hg,M 254830,Kimia,Hg,"Maks.  0,03  ppm",Maks.,0.03,ppm,Maks,,0.03,,,
m 254830|kimia|kadar amylosa,M 254830,Kimia,Kadar  Amylosa,Min. 23 %,Min.,23,%,Min,23,,,,
m 254830|kimia|kadar protein,M 254830,Kimia,Kadar  Protein,6 - 9 %,,6 - 9,%,Range,6,9,,,
m 254830|kimia|okratoksin a,M 254830,Kimia,Okratoksin A,Maks. 5 ppb,Maks.,5,ppb,Maks,,5,,,
m 254830|kimia|pb,M 254830,Kimia,Pb,"Maks.  0,25  ppm",Maks.,0.25,ppm,Maks,,0.25,,,
m 254830|kimia|sn,M 254830,Kimia,Sn,Maks.  40  ppm,Maks.,40,ppm,Maks,,40,,,
m 254830|kimia|so2,M 254830,Kimia,SO2,Tidak boleh ada,,,Tidak boleh ada,Kualitatif,,,,,
m 254830|mikrobiologi|alt,M 254830,Mikrobiologi,ALT,m = 105 kol/g,m =,105,kol/g,m,,,100000,,
m 254830|mikrobiologi|bacillus cereus,M 254830,Mikrobiologi,Bacillus cereus,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
m 254830|mikrobiologi|e. coli,M 254830,Mikrobiologi,E. coli,m = 7.4 APM/g,m =,7.4,APM/g,m,,,7.4,,
m 254830|mikrobiologi|kapang & khamir,M 254830,Mikrobiologi,Kapang & Khamir,m = 103 kol/g,m =,103,kol/g,m,,,1000,,
m 254830|mikrobiologi|salmonella,M 254830,Mikrobiologi,Salmonella,m = Negatif/25 g,m = Negatif/,25,g,m,,,25,,
m 276012|cemaran logam|as,M 276012,Cemaran Logam,As,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 276012|cemaran logam|pb,M 276012,Cemaran Logam,Pb,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 276012|fisik|partikel size,M 276012,Fisik,Partikel Size,Min. 85% (60-200 mesh),Min.,85,% (60-200 mesh),Min,85,,,,
m 276012|kimia|kemurnian,M 276012,Kimia,Kemurnian,99 - 101% (db),,99 - 101,% (db),Range,99,101,,,
m 276012|kimia|klorida,M 276012,Kimia,Klorida,"Maks. 0,2%",Maks.,0.2,%,Maks,,0.2,,,
m 276012|kimia|rotasi jenis [α]d20,M 276012,Kimia,Rotasi Jenis [α]D20,"(+)24,8° - (+)25,3°",(+),24.8,"° - (+)25,3°",Cek,,,,,
m 300402|cemaran logam|as,M 300402,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 300402|cemaran logam|cd,M 300402,Cemaran Logam,Cd,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 300402|cemaran logam|hg,M 300402,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 300402|cemaran logam|pb,M 300402,Cemaran Logam,Pb,Maks. 5 ppm,Maks.,5,ppm,Maks,,5,,,
m 300402|kimia|aflatoksin (b1),M 300402,Kimia,Aflatoksin (B1),Maks. 15 ppb,Maks.,15,ppb,Maks,,15,,,
m 300402|kimia|aflatoksin (total),M 300402,Kimia,Aflatoksin (Total),Maks. 20 ppb,Maks.,20,ppb,Maks,,20,,,
m 300402|kimia|deoksinivalenol,M 300402,Kimia,Deoksinivalenol,Maks. 1000 ppb,Maks.,1000,ppb,Maks,,1000,,,
m 300402|kimia|fumonisin,M 300402,Kimia,Fumonisin,Maks. 800 ppb,Maks.,800,ppb,Maks,,800,,,
m 300402|kimia|okratoksin a,M 300402,Kimia,Okratoksin A,Maks. 5 ppb,Maks.,5,ppb,Maks,,5,,,
m 300402|mikrobiologi|coliform,M 300402,Mikrobiologi,Coliform,m = negatif / g,,,m = negatif / g,Kualitatif,,,,,
m 300402|mikrobiologi|e. coli,M 300402,Mikrobiologi,E. coli,m = negatif / g,,,m = negatif / g,Kualitatif,,,,,
m 300402|mikrobiologi|salmonella,M 300402,Mikrobiologi,Salmonella,m = negatif / 25 g,m = negatif /,25,g,m,,,25,,
m 301602|cemaran logam|as,M 301602,Cemaran Logam,As,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 301602|cemaran logam|cd,M 301602,Cemaran Logam,Cd,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 301602|cemaran logam|hg,M 301602,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 301602|cemaran logam|pb,M 301602,Cemaran Logam,Pb,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 301602|kimia|kemurnian,M 301602,Kimia,Kemurnian,Min. 94%,Min.,94,%,Min,94,,,,
m 301602|kimia|p2o5,M 301602,Kimia,P2O5,54 - 58%,,54 - 58,%,Range,54,58,,,
m 301602|kimia|polifosfat lain yang lebih tinggi,M 301602,Kimia,Polifosfat lain yang lebih tinggi,Tidak terdeteksi,,,Tidak terdeteksi,Cek,,,,,
m 304602|cemaran logam|as,M 304602,Cemaran Logam,As,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 304602|cemaran logam|cd,M 304602,Cemaran Logam,Cd,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 304602|cemaran logam|hg,M 304602,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 304602|cemaran logam|pb,M 304602,Cemaran Logam,Pb,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 304602|kimia|p2o5,M 304602,Kimia,P2O5,60 - 80%,,60 - 80,%,Range,60,80,,,
m 304702|cemaran logam|as,M 304702,Cemaran Logam,As,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 304702|cemaran logam|cd,M 304702,Cemaran Logam,Cd,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 304702|cemaran logam|hg,M 304702,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 304702|cemaran logam|pb,M 304702,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 304702|kimia|ethylene oxide,M 304702,Kimia,Ethylene Oxide,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,"Konflik di 2026 (2 varian): Maks. 0,01 ppm; Maks. 0,02 ppm -> dipakai 'Maks. 0,01 ppm'. Cek manual."
m 304702|kimia|total etillena oksida (etilena oksida + 2-ce sebagai etilena oksida),M 304702,Kimia,Total Etillena Oksida (etilena oksida + 2-CE sebagai etilena oksida),"Maks. 0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,"Konflik di 2026 (2 varian): Maks. 0,02 ppm; None -> dipakai 'Maks. 0,02 ppm'. Cek manual."
m 304702|kimia|total karbonat,M 304702,Kimia,Total  Karbonat,Min. 92%,Min.,92,%,Min,92,,,,
m 304902|cemaran logam|as,M 304902,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 304902|cemaran logam|hg,M 304902,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 304902|cemaran logam|pb,M 304902,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 304902|kimia|kemurnian (anhidrat),M 304902,Kimia,Kemurnian (anhidrat),Min. 99 %,Min.,99,%,Min,99,,,,
m 305002|cemaran logam|as,M 305002,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 305002|cemaran logam|hg,M 305002,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 305002|cemaran logam|pb,M 305002,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 305002|kimia|kemurnian,M 305002,Kimia,Kemurnian,Min. 99%,Min.,99,%,Min,99,,,,
m 306500|cemaran logam|as,M 306500,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 306500|cemaran logam|cd,M 306500,Cemaran Logam,Cd,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 306500|cemaran logam|hg,M 306500,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 306500|cemaran logam|pb,M 306500,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
m 306500|fisik|partikel size,M 306500,Fisik,Partikel Size,Min. 90% lolos (mesh 200),Min.,90,% lolos (mesh 200),Min,90,,,,
m 306500|kimia|bahan tidak larut asam,M 306500,Kimia,Bahan  tidak  larut  asam,"Maks. 7,0%  (db)",Maks.,7.0,% (db),Maks,,7,,,
m 306500|kimia|etanol & isopropanol,M 306500,Kimia,Etanol & Isopropanol,Maks. 1%,Maks.,1,%,Maks,,1,,,
m 306500|kimia|ethylene oxide,M 306500,Kimia,Ethylene Oxide,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
m 306500|kimia|furfural,M 306500,Kimia,Furfural,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 306500|kimia|kadar pati,M 306500,Kimia,Kadar  pati,TTD,,,TTD,Cek,,,,,
m 306500|kimia|kemurnian,M 306500,Kimia,Kemurnian,Min. 80%,Min.,80,%,Min,80,,,,
m 306500|kimia|pentaklorofenol,M 306500,Kimia,Pentaklorofenol,"Maks. 0,01 ppm",Maks.,0.01,ppm,Maks,,0.01,,,
m 306500|kimia|peroksida organik,M 306500,Kimia,Peroksida Organik,"Maks. 0,7 meq oksigen aktif/kg",Maks.,0.7,meq oksigen aktif/kg,Maks,,0.7,,,
m 306500|kimia|protein (n x 6.25),M 306500,Kimia,Protein (N x 6.25),Maks. 10%,Maks.,10,%,Maks,,10,,,
m 306500|kimia|total etillena oksida (etilena oksida + 2-ce sebagai etilena oksida),M 306500,Kimia,Total Etillena Oksida (etilena oksida + 2-CE sebagai etilena oksida),"Maks. 0,02 ppm",Maks.,0.02,ppm,Maks,,0.02,,,
m 306500|mikrobiologi|alt,M 306500,Mikrobiologi,ALT,"Maks. 5,0 x 103 koloni /g",Maks.,5.0 x 10^3,koloni /g,m,,,5000,,
m 306500|mikrobiologi|e. coli,M 306500,Mikrobiologi,E. coli,Negatif,,,Negatif,Kualitatif,,,,,
m 306500|mikrobiologi|khamir & kapang,M 306500,Mikrobiologi,Khamir & Kapang,"Maks. 5,0 x 102 koloni /g",Maks.,5.0 x 10^2,koloni /g,m,,,500,,
m 306500|mikrobiologi|salmonella,M 306500,Mikrobiologi,Salmonella,Negatif,,,Negatif,Kualitatif,,,,,
m 306602|cemaran logam|as,M 306602,Cemaran Logam,As,Maks. 3 ppm,Maks.,3,ppm,Maks,,3,,,
m 306602|cemaran logam|cd,M 306602,Cemaran Logam,Cd,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 306602|cemaran logam|hg,M 306602,Cemaran Logam,Hg,Maks. 1 ppm,Maks.,1,ppm,Maks,,1,,,
m 306602|cemaran logam|pb,M 306602,Cemaran Logam,Pb,Maks. 2 ppm,Maks.,2,ppm,Maks,,2,,,
